title,description,status,due_date,priority,category,hours,created_at,updated_at,assigned_to,created_by,location,project,phase,parent_task
Excavate Floor,Excavate the basement floor down another 6 inches,open,2025-01-15,high,Construction,40,2024-12-16,2024-12-16,Michael,Michael,98 Pulaski St,Basement Renovation,Excavation Phase,
Pour Gravel,Pour gravel and lay membrane,open,2025-01-20,high,Construction,10,2025-01-16,2025-01-16,Michael,Michael,98 Pulaski St,Basement Renovation,Foundation Phase,
Pour Slab,Pour a concrete slab in sections,open,2025-02-15,high,Construction,50,2025-01-21,2025-01-21,Michael,Michael,98 Pulaski St,Basement Renovation,Foundation Phase,
Install Subfloor,Install the subfloor,open,2025-02-20,high,Construction,8,2025-02-16,2025-02-16,Michael,Michael,98 Pulaski St,Basement Renovation,Foundation Phase,
Install Flooring,Install the new waterproof flooring in the basement,open,2025-03-15,high,Construction,16,2025-02-21,2025-02-21,Michael,Michael,98 Pulaski St,Basement Renovation,Flooring Installation Phase,
Install Drop Ceiling,Install the vinyl drop ceiling in the basement,open,2025-03-30,high,Construction,40,2025-03-16,2025-03-16,Michael,Michael,98 Pulaski St,Basement Renovation,Ceiling Installation Phase,
Install Windows,Install the new windows in the basement,open,2025-03-31,high,Construction,20,2025-03-01,2025-03-01,Michael,Michael,98 Pulaski St,Basement Renovation,Window Installation Phase,
Final Inspection,Conduct final inspection and obtain approval,open,2025-03-31,high,Legal,5,2025-03-30,2025-03-30,Michael,Michael,98 Pulaski St,Basement Renovation,Finishing Phase,
Create Initial Design,Create the initial design sketches and blueprints for the garage renovation,open,2025-04-05,high,Design,10,2025-04-01,2025-04-01,Michael,Michael,Office - Forest,Garage Renovation,Planning Phase,
Order Materials,Order the necessary materials for the garage renovation,open,2025-04-10,high,Procurement,2,2025-04-01,2025-04-01,Michael,Michael,Office - Forest,Garage Renovation,Planning Phase,
Clean Out Garage,Big clean out and waste removal,open,2025-04-30,high,Demolition,20,2025-04-16,2025-04-16,Michael,Michael,Garage - Forest,Garage Renovation,Demolition Phase,
Install New Shelves,Install 2 new shelves and a workbench,open,2025-05-10,high,Construction,10,2025-05-01,2025-05-01,Michael,Michael,Garage - Forest,Garage Renovation,Construction Phase,
Paint Garage,Paint the garage walls and ceiling,open,2025-05-20,medium,Finishing,10,2025-05-11,2025-05-11,Michael,Michael,Garage - Forest,Garage Renovation,Finishing Phase,
Surface Coat Floor,Apply a new surfacing coat for the floor,open,2025-05-30,medium,Finishing,8,2025-05-21,2025-05-21,Michael,Michael,Garage - Forest,Garage Renovation,Finishing Phase,
Install New Lighting,Install two new light strips,open,2025-06-10,medium,Construction,5,2025-06-01,2025-06-01,Michael,Michael,Garage - Forest,Garage Renovation,Construction Phase,
Remake Garage Doors,Remake and secure the garage doors,open,2025-06-20,high,Construction,15,2025-06-11,2025-06-11,Michael,Michael,Garage - Forest,Garage Renovation,Construction Phase,
Final Inspection,Conduct final inspection and obtain approval,open,2025-06-30,high,Legal,2,2025-06-21,2025-06-21,Michael,Michael,Garage - Forest,Garage Renovation,Finishing Phase,
Create Initial Plan,Create the initial plan for replacing the garage roof,open,2025-07-05,high,Planning,2,2025-07-01,2025-07-01,Michael,Michael,Office - Forest,Revocation of Garage Roof,Planning Phase,
Order Materials,Order the necessary materials for the new roof,open,2025-07-10,high,Procurement,1,2025-07-01,2025-07-01,Michael,Michael,Office - Forest,Revocation of Garage Roof,Planning Phase,
Remove Old Roof,Remove the existing garage roof,open,2025-07-31,high,Construction,16,2025-07-16,2025-07-16,Michael,Michael,Garage - Forest,Revocation of Garage Roof,Demolition Phase,
Install New Roof,Install the new garage roof,open,2025-09-15,high,Construction,16,2025-08-01,2025-08-01,Michael,Michael,Garage - Forest,Revocation of Garage Roof,Construction Phase,
Final Inspection,Conduct final inspection and obtain approval,open,2025-09-30,high,Legal,2,2025-09-16,2025-09-16,Michael,Michael,Garage - Forest,Revocation of Garage Roof,Finishing Phase,
Create Initial Plan,Create the initial plan for replacing the second floor windows,open,2025-10-05,high,Planning,2,2025-10-01,2025-10-01,Michael,Michael,Office - Pulaski,Replacing Second Floor Windows,Planning Phase,
Order Windows,Order the new windows for the second floor,open,2025-10-10,high,Procurement,1,2025-10-01,2025-10-01,Michael,Michael,Office - Pulaski,Replacing Second Floor Windows,Planning Phase,
Remove Old Windows,Remove the existing second floor windows,open,2025-10-31,high,Construction,10,2025-10-16,2025-10-16,Michael,Michael,98 Pulaski St,Replacing Second Floor Windows,Demolition Phase,
Install New Windows,Install the new second floor windows,open,2025-12-15,high,Construction,20,2025-11-01,2025-11-01,Michael,Michael,98 Pulaski St,Replacing Second Floor Windows,Construction Phase,
Final Inspection,Conduct final inspection and obtain approval,open,2025-12-31,high,Legal,2,2025-12-16,2025-12-16,Michael,Michael,98 Pulaski St,Replacing Second Floor Windows,Finishing Phase,
Create Initial Design,Create the initial design sketches and blueprints for the spider robot,open,2026-02-01,high,Design,10,2026-01-01,2026-01-01,Michael,Michael,Office - Pulaski,Building a Spider Robot,Design Phase,
Finalize Design,Finalize the design and create detailed CAD models,open,2026-03-01,high,Design,15,2026-02-01,2026-02-01,Michael,Michael,Office - Pulaski,Building a Spider Robot,Design Phase,
Identify Suppliers,Identify and list suppliers for all necessary components,open,2026-04-15,medium,Procurement,2,2026-04-01,2026-04-01,Michael,Michael,Office - Pulaski,Building a Spider Robot,Procurement Phase,
Order Components,Place orders for all required components,open,2026-06-15,medium,Procurement,2,2026-04-15,2026-04-15,Michael,Michael,Office - Pulaski,Building a Spider Robot,Procurement Phase,
Assemble Main Frame,Assemble the main frame of the spider robot,open,2026-07-15,high,Assembly,3,2026-07-01,2026-07-01,Michael,Michael,Workshop - Pulaski,Building a Spider Robot,Frame Assembly,
Assemble Leg Joints,Assemble the leg joints of the spider robot,open,2026-08-01,high,Assembly,2,2026-07-15,2026-07-15,Michael,Michael,Workshop - Pulaski,Building a Spider Robot,Leg Assembly,
Install Motors in Legs,Install motors in the legs of the spider robot,open,2026-08-15,high,Assembly,2,2026-08-01,2026-08-01,Michael,Michael,Workshop - Pulaski,Building a Spider Robot,Leg Assembly,
Wire Leg Motors,Wire the motors in the legs of the spider robot,open,2026-08-31,high,Assembly,2,2026-08-15,2026-08-15,Michael,Michael,Workshop - Pulaski,Building a Spider Robot,Leg Assembly,
Install Main Control Board,Install the main control board in the spider robot,open,2026-09-01,high,Assembly,3,2026-08-31,2026-08-31,Michael,Michael,Workshop - Pulaski,Building a Spider Robot,Electronics Installation,
Connect Sensors to Control Board,Connect sensors to the main control board,open,2026-09-15,high,Assembly,1,2026-09-01,2026-09-01,Michael,Michael,Workshop - Pulaski,Building a Spider Robot,Electronics Installation,
Initial Testing,Perform initial tests on the assembled robot,open,2026-11-01,high,Testing,2,2026-10-01,2026-10-01,Michael,Michael,Workshop - Pulaski,Building a Spider Robot,Testing Phase,
Debugging,Debug and fix any issues found during initial testing,open,2026-12-15,high,Testing,5,2026-11-01,2026-11-01,Michael,Michael,Workshop - Pulaski,Building a Spider Robot,Testing Phase,
Final Testing,Perform final tests and quality checks,open,2026-12-31,high,Testing,1,2026-12-16,2026-12-16,Michael,Michael,Workshop - Pulaski,Building a Spider Robot,Testing Phase,
Create Initial Design,Create the initial design sketches and blueprints for the flying drone,open,2027-02-01,high,Design,5,2027-01-01,2027-01-01,Michael,Michael,Office - Pulaski,Building a Flying Drone,Design Phase,
Finalize Design,Finalize the design and create detailed CAD models,open,2027-03-01,high,Design,10,2027-02-01,2027-02-01,Michael,Michael,Office - Pulaski,Building a Flying Drone,Design Phase,
Identify Suppliers,Identify and list suppliers for all necessary components,open,2027-04-15,medium,Procurement,2,2027-04-01,2027-04-01,Michael,Michael,Office - Pulaski,Building a Flying Drone,Procurement Phase,
Order Components,Place orders for all required components,open,2027-06-15,medium,Procurement,1,2027-04-15,2027-04-15,Michael,Michael,Office - Pulaski,Building a Flying Drone,Procurement Phase,
Assemble Main Frame,Assemble the main frame of the flying drone,open,2027-07-15,high,Assembly,3,2027-07-01,2027-07-01,Michael,Michael,Workshop - Pulaski,Building a Flying Drone,Frame Assembly,
Install Motors,Install motors on the flying drone,open,2027-08-01,high,Assembly,2,2027-07-15,2027-07-15,Michael,Michael,Workshop - Pulaski,Building a Flying Drone,Motor and Propeller Installation,
Install Propellers,Install propellers on the flying drone,open,2027-08-15,high,Assembly,2,2027-08-01,2027-08-01,Michael,Michael,Workshop - Pulaski,Building a Flying Drone,Motor and Propeller Installation,
Wire Motors,Wire the motors on the flying drone,open,2027-08-31,high,Assembly,2,2027-08-15,2027-08-15,Michael,Michael,Workshop - Pulaski,Building a Flying Drone,Motor and Propeller Installation,
Install Main Control Board,Install the main control board in the flying drone,open,2027-09-01,high,Assembly,2,2027-08-31,2027-08-31,Michael,Michael,Workshop - Pulaski,Building a Flying Drone,Electronics Installation,
Connect Sensors to Control Board,Connect sensors to the main control board,open,2027-09-15,high,Assembly,1,2027-09-01,2027-09-01,Michael,Michael,Workshop - Pulaski,Building a Flying Drone,Electronics Installation,
Install GPS Module,Install the GPS module on the flying drone,open,2027-09-20,high,Assembly,1,2027-09-15,2027-09-15,Michael,Michael,Workshop - Pulaski,Building a Flying Drone,Electronics Installation,
Initial Testing,Perform initial tests on the assembled drone,open,2027-11-01,high,Testing,1,2027-10-01,2027-10-01,Michael,Michael,Workshop - Pulaski,Building a Flying Drone,Testing Phase,
Debugging,Debug and fix any issues found during initial testing,open,2027-12-15,high,Testing,5,2027-11-01,2027-11-01,Michael,Michael,Workshop - Pulaski,Building a Flying Drone,Testing Phase,
Final Testing,Perform final tests and quality checks,open,2027-12-31,high,Testing,1,2027-12-16,2027-12-16,Michael,Michael,Workshop - Pulaski,Building a Flying Drone,Testing Phase,
Create Initial Plan,Create the initial plan for installing solar panels,open,2028-01-05,high,Planning,2,2028-01-01,2028-01-01,Michael,Michael,Office - Pulaski,Installing Solar Panels,Planning Phase,
Order Solar Panels,Order the solar panels and necessary equipment,open,2028-01-10,high,Procurement,1,2028-01-05,2028-01-05,Michael,Michael,Office - Pulaski,Installing Solar Panels,Planning Phase,
Prepare Roof,Prepare the garage and house roofs for solar panel installation,open,2028-01-31,high,Construction,40,2028-01-16,2028-01-16,Michael,Michael,Construction Site,Installing Solar Panels,Roof Preparation Phase,
Install Solar Panels,Install the solar panels on the garage and house roofs,open,2028-09-30,high,Construction,80,2028-02-01,2028-02-01,Michael,Michael,Construction Site,Installing Solar Panels,Installation Phase,
Connect to Grid,Connect the solar panels to the electrical grid,open,2028-09-30,high,Electrical,40,2028-08-01,2028-08-01,Michael,Michael,Construction Site,Installing Solar Panels,Installation Phase,
Final Inspection,Conduct final inspection and obtain approval,open,2028-09-30,high,Legal,5,2028-09-16,2028-09-16,Michael,Michael,Construction Site,Installing Solar Panels,Installation Phase,
Create Initial Design,Create the initial design sketches and blueprints for the single family house,open,2029-02-01,high,Design,10,2029-01-01,2029-01-01,Michael,Michael,Office - Pulaski,Building a Single Family House,Planning Phase,
Finalize Design,Finalize the design and create detailed CAD models,open,2029-02-28,high,Design,15,2029-02-01,2029-02-01,Michael,Michael,Office - Pulaski,Building a Single Family House,Planning Phase,
Obtain Permits,Obtain necessary permits for construction,open,2029-02-28,high,Legal,10,2029-01-01,2029-01-01,Michael,Michael,Office - Pulaski,Building a Single Family House,Planning Phase,
Excavate Site,Excavate the site for the foundation,open,2029-03-15,high,Construction,100,2029-03-01,2029-03-01,Michael,Michael,Construction Site,Building a Single Family House,Foundation Phase,
Pour Foundation,Pour the concrete foundation,open,2029-04-30,high,Construction,50,2029-03-16,2029-03-16,Michael,Michael,Construction Site,Building a Single Family House,Foundation Phase,
Frame Walls,Frame the walls of the house,open,2029-06-30,high,Construction,120,2029-05-01,2029-05-01,Michael,Michael,Construction Site,Building a Single Family House,Framing Phase,
Install Roof,Install the roof on the house,open,2029-08-31,high,Construction,80,2029-07-01,2029-07-01,Michael,Michael,Construction Site,Building a Single Family House,Roofing Phase,
Install Electrical,Install electrical wiring and fixtures,open,2029-10-31,high,Construction,50,2029-09-01,2029-09-01,Michael,Michael,Construction Site,Building a Single Family House,Interior Phase,
Install Plumbing,Install plumbing systems,open,2029-10-31,high,Construction,50,2029-09-01,2029-09-01,Michael,Michael,Construction Site,Building a Single Family House,Interior Phase,
Paint Interior,Paint the interior walls,open,2029-12-31,medium,Finishing,20,2029-11-01,2029-11-01,Michael,Michael,Construction Site,Building a Single Family House,Finishing Phase,
Final Inspection,Conduct final inspection and obtain occupancy permit,open,2029-12-31,high,Legal,10,2029-11-01,2029-11-01,Michael,Michael,Construction Site,Building a Single Family House,Finishing Phase,
Create Initial Design,Create the initial design sketches and blueprints for the garage/business building,open,2030-02-01,high,Design,15,2030-01-01,2030-01-01,Michael,Michael,Office - Pulaski,Building a Garage/Business Building,Planning Phase,
Finalize Design,Finalize the design and create detailed CAD models,open,2030-02-28,high,Design,25,2030-02-01,2030-02-01,Michael,Michael,Office - Pulaski,Building a Garage/Business Building,Planning Phase,
Obtain Permits,Obtain necessary permits for construction,open,2030-02-28,high,Legal,10,2030-01-01,2030-01-01,Michael,Michael,Office - Pulaski,Building a Garage/Business Building,Planning Phase,
Excavate Site,Excavate the site for the foundation,open,2030-03-15,high,Construction,100,2030-03-01,2030-03-01,Michael,Michael,Construction Site,Building a Garage/Business Building,Foundation Phase,
Pour Foundation,Pour the concrete foundation,open,2030-04-30,high,Construction,100,2030-03-16,2030-03-16,Michael,Michael,Construction Site,Building a Garage/Business Building,Foundation Phase,
Frame Walls,Frame the walls of the building,open,2030-06-30,high,Construction,120,2030-05-01,2030-05-01,Michael,Michael,Construction Site,Building a Garage/Business Building,Framing Phase,
Install Roof,Install the roof on the building,open,2030-08-31,high,Construction,80,2030-07-01,2030-07-01,Michael,Michael,Construction Site,Building a Garage/Business Building,Roofing Phase,
Install Electrical,Install electrical wiring and fixtures,open,2030-10-31,high,Construction,50,2030-09-01,2030-09-01,Michael,Michael,Construction Site,Building a Garage/Business Building,Interior Phase,
Install Plumbing,Install plumbing systems,open,2030-10-31,high,Construction,50,2030-09-01,2030-09-01,Michael,Michael,Construction Site,Building a Garage/Business Building,Interior Phase,
Paint Interior,Paint the interior walls,open,2030-12-31,medium,Finishing,20,2030-11-01,2030-11-01,Michael,Michael,Construction Site,Building a Garage/Business Building,Finishing Phase,
Final Inspection,Conduct final inspection and obtain occupancy permit,open,2030-12-31,high,Legal,10,2030-11-01,2030-11-01,Michael,Michael,Construction Site,Building a Garage/Business Building,Finishing Phase,
Create Initial Design,Create the initial design sketches and blueprints for the human-like robot,open,2031-02-01,high,Design,50,2031-01-01,2031-01-01,Michael,Michael,Office - Pulaski,Building a Human-Like Robot,Design Phase,
Finalize Design,Finalize the design and create detailed CAD models,open,2031-06-30,high,Design,50,2031-02-01,2031-02-01,Michael,Michael,Office - Pulaski,Building a Human-Like Robot,Design Phase,
Identify Suppliers,Identify and list suppliers for all necessary components,open,2031-07-15,medium,Procurement,5,2031-07-01,2031-07-01,Michael,Michael,Office - Pulaski,Building a Human-Like Robot,Procurement Phase,
Order Components,Place orders for all required components,open,2031-12-15,medium,Procurement,5,2031-07-15,2031-07-15,Michael,Michael,Office - Pulaski,Building a Human-Like Robot,Procurement Phase,
Assemble Main Frame,Assemble the main frame of the human-like robot,open,2032-03-31,high,Assembly,50,2032-01-01,2032-01-01,Michael,Michael,Workshop - Pulaski,Building a Human-Like Robot,Frame Assembly,
Assemble Leg Joints,Assemble the leg joints of the human-like robot,open,2032-04-15,high,Assembly,20,2032-04-01,2032-04-01,Michael,Michael,Workshop - Pulaski,Building a Human-Like Robot,Muscle Installation,
Install Motors in Legs,Install motors in the legs of the human-like robot,open,2032-04-30,high,Assembly,20,2032-04-15,2032-04-15,Michael,Michael,Workshop - Pulaski,Building a Human-Like Robot,Muscle Installation,
Wire Leg Motors,Wire the motors in the legs of the human-like robot,open,2032-05-15,high,Assembly,10,2032-04-30,2032-04-30,Michael,Michael,Workshop - Pulaski,Building a Human-Like Robot,Muscle Installation,
Install Main Control Board,Install the main control board in the human-like robot,open,2032-07-01,high,Assembly,10,2032-06-01,2032-06-01,Michael,Michael,Workshop - Pulaski,Building a Human-Like Robot,Electronics Installation,
Connect Sensors to Control Board,Connect sensors to the main control board,open,2032-07-15,high,Assembly,10,2032-07-01,2032-07-01,Michael,Michael,Workshop - Pulaski,Building a Human-Like Robot,Electronics Installation,
Initial Testing,Perform initial tests on the assembled robot,open,2032-11-01,high,Testing,20,2032-10-01,2032-10-01,Michael,Michael,Workshop - Pulaski,Building a Human-Like Robot,Testing Phase,
ebugging,Debug and fix any issues found during initial testing,open,2032-12-15,high,Testing,20,2032-11-01,2032-11-01,Michael,Michael,Workshop - Pulaski,Building a Human-Like Robot,Testing Phase,
Final Testing,Perform final tests and quality checks,open,2032-12-31,high,Testing,10,2032-12-16,2032-12-16,Michael,Michael,Workshop - Pulaski,Building a Human-Like Robot,Testing Phase,
Create Initial Design,Create the initial design sketches and blueprints for the small bathroom,open,2024-08-20,high,Design,5,2024-08-15,2024-08-15,Michael,Michael,Unit 3 - Fl. 3 - 98 Pulaski St,Remodel Small Bathroom,Planning Phase,
Order Materials,Order the necessary materials for the small bathroom remodel,open,2024-08-25,high,Procurement,1,2024-08-15,2024-08-15,Michael,Michael,Unit 3 - Fl. 3 - 98 Pulaski St,Remodel Small Bathroom,Planning Phase,
Remove Old Fixtures,Remove the existing bathroom fixtures,open,2024-09-05,high,Demolition,10,2024-09-01,2024-09-01,Michael,Michael,Unit 3 - Fl. 3 - 98 Pulaski St,Remodel Small Bathroom,Demolition Phase,
Install New Plumbing Fixture,Install a new outlet and fan/light,open,2024-09-10,high,Construction,5,2024-09-06,2024-09-06,Michael,Michael,Unit 3 - Fl. 3 - 98 Pulaski St,Remodel Small Bathroom,Construction Phase,
Install New Fixtures,Install the new sink, toilet, and tub,open,2024-09-20,high,Construction,20,2024-09-11,2024-09-11,Michael,Michael,Unit 3 - Fl. 3 - 98 Pulaski St,Remodel Small Bathroom,Construction Phase,
Tile Installation,Install new tiles in the bathroom,open,2024-10-05,high,Construction,15,2024-09-21,2024-09-21,Michael,Michael,Unit 3 - Fl. 3 - 98 Pulaski St,Remodel Small Bathroom,Construction Phase,
Paint Bathroom,Paint the bathroom walls and ceiling,open,2024-10-10,medium,Finishing,5,2024-10-06,2024-10-06,Michael,Michael,Unit 3 - Fl. 3 - 98 Pulaski St,Remodel Small Bathroom,Finishing Phase,
Final Inspection,Conduct final inspection and obtain approval,open,2024-10-31,high,Legal,2,2024-10-11,2024-10-11,Michael,Michael,Unit 3 - Fl. 3 - 98 Pulaski St,Remodel Small Bathroom,Finishing Phase,
Create Initial Design,Create the initial design sketches and blueprints for the 3rd unit kitchen,open,2024-11-05,high,Design,5,2024-11-01,2024-11-01,Michael,Michael,Unit 3 - Fl. 3 - 98 Pulaski St,Remodel 3rd Unit Kitchen,Planning Phase,
Order Materials,Order the necessary materials for the 3rd unit kitchen remodel,open,2024-11-10,high,Procurement,1,2024-11-01,2024-11-01,Michael,Michael,Unit 3 - Fl. 3 - 98 Pulaski St,Remodel 3rd Unit Kitchen,Planning Phase,
Remove Old Fixtures,Remove the existing kitchen fixtures,open,2024-11-20,high,Demolition,10,2024-11-11,2024-11-11,Michael,Michael,Unit 3 - Fl. 3 - 98 Pulaski St,Remodel 3rd Unit Kitchen,Demolition Phase,
Install New Plumbing Fixture,Install a new outlet and fan/light,open,2024-11-25,high,Construction,5,2024-11-21,2024-11-21,Michael,Michael,Unit 3 - Fl. 3 - 98 Pulaski St,Remodel 3rd Unit Kitchen,Construction Phase,
Install New Fixtures,Install the new cabinets, countertops, and appliances,open,2024-12-10,high,Construction,20,2024-11-26,2024-11-26,Michael,Michael,Unit 3 - Fl. 3 - 98 Pulaski St,Remodel 3rd Unit Kitchen,Construction Phase,
Tile Installation,Tile the entire kitchen floor,open,2024-12-20,high,Construction,15,2024-12-11,2024-12-11,Michael,Michael,Unit 3 - Fl. 3 - 98 Pulaski St,Remodel 3rd Unit Kitchen,Construction Phase,
Paint Kitchen,Paint the kitchen walls and ceiling,open,2024-12-25,medium,Finishing,5,2024-12-21,2024-12-21,Michael,Michael,Unit 3 - Fl. 3 - 98 Pulaski St,Remodel 3rd Unit Kitchen,Finishing Phase,
Install Backsplash,Install backsplash in the kitchen,open,2024-12-30,medium,Finishing,5,2024-12-26,2024-12-26,Michael,Michael,Unit 3 - Fl. 3 - 98 Pulaski St,Remodel 3rd Unit Kitchen,Finishing Phase,
Final Inspection,Conduct final inspection and obtain approval,open,2024-12-31,high,Legal,2,2024-12-31,2024-12-31,Michael,Michael,Unit 3 - Fl. 3 - 98 Pulaski St,Remodel 3rd Unit Kitchen,Finishing Phase,
